time,hr,hr_norm
1673965268.459,97.0,-0.0761904761904762
1673965269.459,97.0,-0.0761904761904762
1673965270.459,97.0,-0.0761904761904762
1673965271.459,97.0,-0.0761904761904762
1673965272.459,97.0,-0.0761904761904762
1673965273.459,98.0,-0.06666666666666667
1673965274.459,98.0,-0.06666666666666667
1673965275.459,99.0,-0.05714285714285714
1673965276.459,99.0,-0.05714285714285714
1673965277.459,100.0,-0.047619047619047616
1673965278.459,100.0,-0.047619047619047616
1673965280.459,100.0,-0.047619047619047616
1673965281.459,100.0,-0.047619047619047616
1673965282.459,100.0,-0.047619047619047616
1673965283.459,99.0,-0.05714285714285714
1673965284.459,99.0,-0.05714285714285714
1673965285.459,99.0,-0.05714285714285714
1673965286.459,98.33333333333333,-0.06349206349206354
1673965287.459,97.66666666666667,-0.0698412698412698
1673965288.459,97.0,-0.0761904761904762
1673965289.459,95.0,-0.09523809523809523
1673965290.459,93.0,-0.11428571428571428
1673965291.459,91.0,-0.13333333333333333
1673965292.459,89.0,-0.1523809523809524
1673965293.459,88.0,-0.1619047619047619
1673965294.459,91.0,-0.13333333333333333
1673965295.459,96.0,-0.08571428571428572
1673965296.459,99.0,-0.05714285714285714
1673965297.459,101.0,-0.0380952380952381
1673965298.459,102.0,-0.02857142857142857
1673965299.459,102.0,-0.02857142857142857
1673965300.459,102.0,-0.02857142857142857
1673965301.459,101.66666666666667,-0.0317460317460317
1673965302.459,101.33333333333333,-0.03492063492063496
1673965303.459,101.0,-0.0380952380952381
1673965304.459,99.0,-0.05714285714285714
1673965305.459,97.0,-0.0761904761904762
1673965306.459,95.0,-0.09523809523809523
1673965307.459,92.0,-0.12380952380952381
1673965308.459,90.0,-0.14285714285714285
1673965309.459,88.0,-0.1619047619047619
1673965310.459,86.0,-0.18095238095238095
1673965311.459,85.0,-0.19047619047619047
1673965312.459,83.0,-0.20952380952380953
1673965313.459,81.0,-0.22857142857142856
1673965314.459,85.0,-0.19047619047619047
1673965315.459,90.0,-0.14285714285714285
1673965316.459,94.0,-0.10476190476190476
1673965317.459,96.0,-0.08571428571428572
1673965318.459,97.0,-0.0761904761904762
1673965319.459,98.0,-0.06666666666666667
1673965320.459,97.0,-0.0761904761904762
1673965321.459,97.0,-0.0761904761904762
1673965322.459,96.0,-0.08571428571428572
1673965323.459,96.0,-0.08571428571428572
1673965324.459,95.0,-0.09523809523809523
1673965325.459,95.0,-0.09523809523809523
1673965326.459,94.0,-0.10476190476190476
1673965327.459,93.0,-0.11428571428571428
1673965328.459,93.0,-0.11428571428571428
1673965329.459,93.0,-0.11428571428571428
1673965330.459,93.0,-0.11428571428571428
1673965331.459,92.0,-0.12380952380952381
1673965332.459,92.0,-0.12380952380952381
1673965333.459,93.0,-0.11428571428571428
1673965334.459,93.0,-0.11428571428571428
1673965335.459,93.0,-0.11428571428571428
1673965336.459,93.0,-0.11428571428571428
1673965337.459,94.0,-0.10476190476190476
1673965338.459,94.0,-0.10476190476190476
1673965339.459,94.0,-0.10476190476190476
1673965340.459,94.0,-0.10476190476190476
1673965341.459,94.0,-0.10476190476190476
1673965342.459,94.0,-0.10476190476190476
1673965343.459,94.0,-0.10476190476190476
1673965344.459,94.0,-0.10476190476190476
1673965345.459,93.0,-0.11428571428571428
1673965346.459,93.0,-0.11428571428571428
1673965347.459,93.0,-0.11428571428571428
1673965348.459,94.0,-0.10476190476190476
1673965349.459,94.0,-0.10476190476190476
1673965350.459,94.0,-0.10476190476190476
1673965351.459,94.0,-0.10476190476190476
1673965352.459,95.0,-0.09523809523809523
1673965353.459,95.0,-0.09523809523809523
1673965354.459,96.0,-0.08571428571428572
1673965355.459,96.0,-0.08571428571428572
1673965356.459,97.0,-0.0761904761904762
1673965357.459,98.0,-0.06666666666666667
1673965358.459,99.0,-0.05714285714285714
1673965359.459,100.0,-0.047619047619047616
1673965360.459,101.0,-0.0380952380952381
1673965361.459,102.0,-0.02857142857142857
1673965362.459,103.0,-0.01904761904761905
1673965363.459,104.0,-0.009523809523809525
1673965364.459,104.0,-0.009523809523809525
1673965365.459,104.0,-0.009523809523809525
1673965366.459,105.0,0.0
1673965367.459,105.0,0.0
1673965368.459,105.0,0.0
1673965369.459,105.0,0.0
1673965370.459,104.0,-0.009523809523809525
1673965371.459,104.0,-0.009523809523809525
1673965372.459,104.0,-0.009523809523809525
1673965373.459,104.0,-0.009523809523809525
1673965374.459,104.0,-0.009523809523809525
1673965375.459,104.0,-0.009523809523809525
1673965376.459,104.0,-0.009523809523809525
1673965377.459,104.0,-0.009523809523809525
1673965378.459,104.0,-0.009523809523809525
1673965379.459,105.0,0.0
1673965380.459,105.0,0.0
1673965381.459,105.0,0.0
1673965382.459,106.0,0.009523809523809525
1673965383.459,106.0,0.009523809523809525
1673965384.459,107.0,0.01904761904761905
1673965385.459,107.0,0.01904761904761905
1673965386.459,108.0,0.02857142857142857
1673965387.459,109.0,0.0380952380952381
1673965388.459,110.0,0.047619047619047616
1673965389.459,110.0,0.047619047619047616
1673965390.459,111.0,0.05714285714285714
1673965391.459,111.0,0.05714285714285714
1673965392.459,111.0,0.05714285714285714
1673965393.459,111.0,0.05714285714285714
1673965394.459,111.0,0.05714285714285714
1673965395.459,110.0,0.047619047619047616
1673965396.459,108.0,0.02857142857142857
1673965397.459,107.0,0.01904761904761905
1673965398.459,105.0,0.0
1673965399.459,104.0,-0.009523809523809525
1673965400.459,102.0,-0.02857142857142857
1673965401.459,100.0,-0.047619047619047616
1673965402.459,99.0,-0.05714285714285714
1673965403.459,97.0,-0.0761904761904762
1673965404.459,96.0,-0.08571428571428572
1673965405.459,95.0,-0.09523809523809523
1673965406.459,94.0,-0.10476190476190476
1673965407.459,93.0,-0.11428571428571428
1673965408.459,92.0,-0.12380952380952381
1673965409.459,91.0,-0.13333333333333333
1673965410.459,91.0,-0.13333333333333333
1673965411.459,91.0,-0.13333333333333333
1673965412.459,91.0,-0.13333333333333333
1673965413.459,91.0,-0.13333333333333333
1673965414.459,91.0,-0.13333333333333333
1673965415.459,91.0,-0.13333333333333333
1673965416.459,92.0,-0.12380952380952381
1673965417.459,92.0,-0.12380952380952381
1673965418.459,92.0,-0.12380952380952381
1673965419.459,92.0,-0.12380952380952381
1673965420.459,92.0,-0.12380952380952381
1673965421.459,92.0,-0.12380952380952381
1673965422.459,92.0,-0.12380952380952381
1673965423.459,92.0,-0.12380952380952381
1673965424.459,93.0,-0.11428571428571428
1673965425.459,93.0,-0.11428571428571428
1673965426.459,93.0,-0.11428571428571428
1673965427.459,93.0,-0.11428571428571428
1673965428.459,93.0,-0.11428571428571428
1673965429.459,93.0,-0.11428571428571428
1673965430.459,93.0,-0.11428571428571428
1673965431.459,93.0,-0.11428571428571428
1673965432.459,93.0,-0.11428571428571428
1673965433.459,92.0,-0.12380952380952381
1673965434.459,92.0,-0.12380952380952381
1673965435.459,92.0,-0.12380952380952381
1673965436.459,93.0,-0.11428571428571428
1673965437.459,93.0,-0.11428571428571428
1673965438.459,93.0,-0.11428571428571428
1673965439.459,94.0,-0.10476190476190476
1673965440.459,94.0,-0.10476190476190476
1673965441.459,95.0,-0.09523809523809523
1673965442.459,95.0,-0.09523809523809523
1673965443.459,95.0,-0.09523809523809523
1673965444.459,95.0,-0.09523809523809523
1673965445.459,96.0,-0.08571428571428572
1673965446.459,96.0,-0.08571428571428572
